???,Unnamed: 1,dlnC_RAW,dlnY_RAW,dlnC_NOME,dlnY_NOME,POP,RGDPPC_PPP,TO,FO
AUS,1875,7.929,6.453,4.066,3.039,1874.0,4138.207,0.339,
AUS,1876,-4.501,-4.682,-0.263,-1.009,1929.0,4007.258,0.318,
AUS,1877,0.563,-0.629,0.911,0.217,1995.0,4036.09,0.328,
AUS,1878,4.111,4.626,1.608,1.492,2062.0,4277.401,0.315,
AUS,1879,-1.236,-3.133,-0.311,-0.946,2127.0,4204.984,0.275,
AUS,1880,-4.336,0.586,-0.833,0.091,2197.0,4285.389,0.305,
AUS,1881,6.852,2.632,2.028,-0.224,2269.0,4454.826,0.309,
AUS,1882,-4.511,-10.924,-0.782,-3.693,2348.0,4062.606,0.337,
AUS,1883,5.282,8.692,1.643,1.981,2447.0,4475.276,0.325,
AUS,1884,-3.117,-5.46,-0.663,-2.081,2556.0,4303.599,0.3,
AUS,1885,1.777,1.448,0.597,0.093,2650.0,4422.264,0.301,
AUS,1886,-2.077,-3.566,-0.434,-1.132,2741.0,4329.442,0.243,
AUS,1887,4.774,5.603,1.012,1.542,2835.0,4631.746,0.226,
AUS,1888,-5.713,-4.27,-2.376,-1.591,2932.0,4503.752,0.262,
AUS,1889,3.034,4.044,-0.68,0.228,3022.0,4746.856,0.246,
AUS,1890,-8.488,-7.839,-5.123,-4.174,3107.0,4457.676,0.232,1.0
AUS,1891,0.8,3.335,-3.852,-2.083,3196.0,4666.458,0.285,1.0
AUS,1892,-18.998,-17.306,-13.296,-10.733,3274.0,3995.418,0.26,1.0
AUS,1893,-14.76,-8.982,-11.925,-7.398,3334.0,3707.858,0.278,1.0
AUS,1894,-1.102,0.201,-4.437,-3.252,3395.0,3765.538,0.287,1.0
AUS,1895,-8.718,-9.2,-5.436,-5.602,3460.0,3487.283,0.342,1.0
AUS,1896,10.651,4.24,2.782,0.065,3523.0,3684.928,0.349,1.0
AUS,1897,-18.916,-8.971,-7.344,-3.179,3586.0,3419.966,0.347,1.0
AUS,1898,18.469,11.729,9.008,4.625,3642.0,3891.268,0.388,1.0
AUS,1899,0.48,-2.725,2.119,-0.405,3691.0,3839.61,0.362,1.0
AUS,1900,5.567,3.114,2.983,0.931,3741.0,4013.365,0.372,1.0
AUS,1901,-5.594,-5.885,-2.107,-2.672,3795.0,3838.735,0.355,1.0
AUS,1902,-0.155,-1.798,0.182,-0.232,3850.0,3822.597,0.303,1.0
AUS,1903,1.019,5.128,0.939,2.718,3896.0,4076.232,0.32,1.0
AUS,1904,3.426,3.916,1.59,2.317,3946.0,4294.729,0.334,1.0
AUS,1905,0.356,-1.672,0.342,0.552,4004.0,4281.968,0.337,1.0
AUS,1906,-3.96,3.832,-0.3,2.406,4062.0,4507.386,0.374,1.0
AUS,1907,10.159,1.057,2.935,1.408,4127.0,4616.428,0.366,1.0
AUS,1908,-6.695,0.305,-2.191,1.449,4197.0,4693.114,0.338,1.0
AUS,1909,-2.731,4.686,-1.012,2.881,4278.0,4980.598,0.32,1.0
AUS,1910,-0.411,3.229,0.071,1.464,4375.0,5209.829,0.341,1.0
