???;;dlnC_RAW;dlnY_RAW;dlnC_NOME;dlnY_NOME;POP;RGDPPC_PPP;TO ;FO
AUS;1875;7.929189;6.4530581;4.0663429;3.0386496;1874;4138.207;0.339163397;nan
AUS;1876;-4.5009823;-4.6823771;-0.26303267;-1.0088349;1929;4007.2576;0.31806207;nan
AUS;1877;0.56304852;-0.62934692;0.91066578;0.21736004;1995;4036.0902;0.32838105;nan
AUS;1878;4.1108309;4.6260266;1.6080836;1.4918666;2062;4277.4006;0.314523589;nan
AUS;1879;-1.2363752;-3.1328399;-0.3108787;-0.94562735;2127;4204.9835;0.275086712;nan
AUS;1880;-4.335585;0.58552999;-0.83269;0.091123509;2197;4285.3892;0.304948885;nan
AUS;1881;6.8524898;2.6316438;2.0281575;-0.22396346;2269;4454.8259;0.308693016;nan
AUS;1882;-4.5106518;-10.923614;-0.78154807;-3.6933659;2348;4062.6065;0.337413685;nan
AUS;1883;5.2815793;8.6918858;1.6430628;1.981328;2447;4475.2758;0.325163795;nan
AUS;1884;-3.1172069;-5.4602898;-0.66258382;-2.0806682;2556;4303.5994;0.299679413;nan
AUS;1885;1.7770608;1.4482;0.59724962;0.092970171;2650;4422.2642;0.301163897;nan
AUS;1886;-2.0769261;-3.5658166;-0.43440795;-1.1324324;2741;4329.4418;0.242879223;nan
AUS;1887;4.774216;5.6029968;1.0121334;1.5421487;2835;4631.746;0.226445441;nan
AUS;1888;-5.7129426;-4.2703841;-2.3763968;-1.5914999;2932;4503.7517;0.262394148;nan
AUS;1889;3.0336768;4.0436375;-0.67973295;0.22753082;3022;4746.8564;0.246388173;nan
AUS;1890;-8.4882524;-7.838912;-5.1229157;-4.1738836;3107;4457.6762;0.231581994;1
AUS;1891;0.80009563;3.3348829;-3.8524021;-2.0828227;3196;4666.4581;0.285026837;1
AUS;1892;-18.998291;-17.306215;-13.295857;-10.733385;3274;3995.4184;0.260238047;1
AUS;1893;-14.760048;-8.9820935;-11.924884;-7.3977951;3334;3707.8584;0.27835769;1
AUS;1894;-1.1020274;0.20068156;-4.4371153;-3.2524691;3395;3765.5376;0.28664008;1
AUS;1895;-8.7181685;-9.2000737;-5.4360387;-5.6017833;3460;3487.2832;0.342305897;1
AUS;1896;10.650518;4.2397526;2.7815877;0.064959078;3523;3684.9276;0.349283968;1
AUS;1897;-18.91608;-8.9713987;-7.3442596;-3.1794941;3586;3419.9665;0.347056008;1
AUS;1898;18.469151;11.728929;9.0080422;4.6246821;3642;3891.2685;0.387544194;1
AUS;1899;0.48028143;-2.7247701;2.1187693;-0.4054205;3691;3839.6099;0.362227806;1
AUS;1900;5.567351;3.1138594;2.9830796;0.93141687;3741;4013.3654;0.371633971;1
AUS;1901;-5.5940878;-5.8848307;-2.1065007;-2.6719813;3795;3838.7352;0.354764547;1
AUS;1902;-0.15459399;-1.7983409;0.18218832;-0.23199536;3850;3822.5974;0.302996297;1
AUS;1903;1.018717;5.1283492;0.93884013;2.7183242;3896;4076.232;0.320139697;1
AUS;1904;3.426043;3.9158046;1.5901973;2.3169688;3946;4294.7288;0.33365463;1
AUS;1905;0.35638807;-1.6721885;0.34199435;0.552157;4004;4281.968;0.336662552;1
AUS;1906;-3.9599636;3.8321295;-0.29952741;2.4057882;4062;4507.3855;0.374466905;1
AUS;1907;10.15911;1.0574469;2.9348814;1.4084943;4127;4616.4284;0.365819776;1
AUS;1908;-6.6954969;0.30486975;-2.1911839;1.4485447;4197;4693.1141;0.337743625;1
AUS;1909;-2.7310236;4.6862509;-1.0120741;2.8806346;4278;4980.5984;0.320289855;1
AUS;1910;-0.41125678;3.2288037;0.071067889;1.4644169;4375;5209.8286;0.341233238;1
AUS;1911;7.1736832;-3.486872;2.4469275;-1.290473;4500;5103.7778;0.337509713;1
AUS;1912;-2.2554979;-1.4781347;-0.59925749;-1.2364466;4661;5098.4767;0.336018464;1
AUS;1913;1.5950789;-0.19374587;-0.60771891;-1.4286525;4821;5156.8139;0.309594318;1
AUS;1914;-4.979222;-3.9851254;-3.5342903;-2.7121661;4933;5026.7586;0.2697488;0.987262009
AUS;1915;-7.7941806;-4.0145516;-5.5488037;-3.1868498;4971;4896.6003;0.229903282;0.953491872
AUS;1916;-1.7625531;-1.7439684;-4.8648354;-2.6200747;4955;4878.3047;0.229672288;0.896871705
AUS;1917;-15.885985;-3.1719129;-8.9342545;-2.8523041;4950;4791.1111;0.252701714;0.81713624
AUS;1918;-2.1544937;-5.4758605;-2.5570853;-2.9176488;5032;4601.5501;0.204088016;0.724874414
AUS;1919;4.811898;1.1545903;1.2555949;-0.40046292;5193;4715.5787;0.28067478;0.637737991
AUS;1920;-0.55751252;-0.28215991;0.61051613;-0.096137631;5358;4765.5842;0.310167941;0.571633714
AUS;1921;4.5305225;1.6881626;2.6107212;1.0080025;5461;4910.8222;0.331690903;0.52962306
AUS;1922;-1.5397767;1.7572588;1.5434166;1.3070563;5574;5063.6886;0.262745571;0.531844978
AUS;1923;8.344248;1.186758;5.7536169;1.304417;5697;5192.0309;0.259577417;0.593016257
AUS;1924;9.2631913;2.9681601;6.0426258;1.7197109;5819;5417.4257;0.25934159;0.693518599
AUS;1925;0.70955144;1.1548968;1.8565234;0.7040474;5943;5553.0877;0.283564815;0.806481401
AUS;1926;-1.6415125;-1.0134883;-0.10600536;-0.70048143;6064;5572.5594;0.28130944;0.906983743
AUS;1927;1.4607532;-1.8987853;-0.52947915;-2.1145958;6188;5543.7944;0.270893372;0.949048035
AUS;1928;-4.6464221;-3.0759325;-3.2278683;-3.3045479;6304;5451.7766;0.259765065;0.906983743
AUS;1929;-5.2630705;-4.9471633;-3.6930261;-5.2302488;6396;5262.9769;0.260962359;0.806481401
